Code,Description,ParentLevel0Code,ParentLevel0Name,ParentLevel1Code,ParentLevel1Name,ParentLevel2Code,ParentLevel2Name,ParentLevel3Code,ParentLevel3Name,ParentLevel4Code,ParentLevel4Name,ParentLevel5Code,ParentLevel5Name,LoadedAt
13659,Carol Green Sundance Ranch Fund,2000A,Restricted Expendable,2200B,Restricted Gifts B,7000C,Restricted Endowment Income,7700D,Restricted Endowment Income Regents,13659,Carol Green Sundance Ranch Fund,13659,Carol Green Sundance Ranch Fund,2026-07-01 13:38:29.229
12101,Sales and Services NonRate Activities,1000A,Unrestricted A,1000B,Unrestricted B,1200C,SalesandServices Other,1210D,SalesandServices D,12101,Sales and Services NonRate Activities,12101,Sales and Services NonRate Activities,2026-07-01 13:38:29.229
16551,Pmcf UCD Mohini Jain Pres Chair Match,2000A,Restricted Expendable,2200B,Restricted Gifts B,7000C,Restricted Endowment Income,7700D,Restricted Endowment Income Regents,16551,Pmcf UCD Mohini Jain Pres Chair Match,16551,Pmcf UCD Mohini Jain Pres Chair Match,2026-07-01 13:38:29.229
20700,Private Contracts and Grants,2000A,Restricted Expendable,2000B,ContractsandGrants,2070C,Private ContactsandGrants C,2070D,Private ContactsandGrants D,20700,Private Contracts and Grants,20700,Private Contracts and Grants,2026-07-01 13:38:29.229
13U58,UCD Education and Research 69640,1000A,Unrestricted A,1000B,Unrestricted B,1300C,Other Unrestricted C,13U2D,Unrestricted General,13U58,UCD Education and Research 69640,13U58,UCD Education and Research 69640,2026-07-01 13:38:29.229
37707,Florence S Ragle Res Fd,2000A,Restricted Expendable,2200B,Restricted Gifts B,7000C,Restricted Endowment Income,7700D,Restricted Endowment Income Regents,37707,Florence S Ragle Res Fd,37707,Florence S Ragle Res Fd,2026-07-01 13:38:29.229
67672,Human Health Fund 44626,2000A,Restricted Expendable,2200B,Restricted Gifts B,6000C,Restricted Expendable Gifts,6300D,Restricted Gift Funds UC Davis,67672,Human Health Fund 44626,67672,Human Health Fund 44626,2026-07-01 13:38:29.229
63482,Nutri Research Nat Food Extrct Hackma 40480,2000A,Restricted Expendable,2200B,Restricted Gifts B,6000C,Restricted Expendable Gifts,6300D,Restricted Gift Funds UC Davis,63482,Nutri Research Nat Food Extrct Hackma 40480,63482,Nutri Research Nat Food Extrct Hackma 40480,2026-07-01 13:38:29.229
76555,Protein Metabolism and Health Research Fund 50596,2000A,Restricted Expendable,2200B,Restricted Gifts B,6000C,Restricted Expendable Gifts,6300D,Restricted Gift Funds UC Davis,76555,Protein Metabolism and Health Research Fund 50596,76555,Protein Metabolism and Health Research Fund 50596,2026-07-01 13:38:29.229
19986,Student Mental Health Programs 2 3,2000A,Restricted Expendable,1999B,Specific State Appropriations B,1999C,Specific State Appropriations C,1999D,Specific State Appropriations D,19986,Student Mental Health Programs 2 3,19986,Student Mental Health Programs 2 3,2026-07-01 13:38:29.229
75754,Clinical Breastfeeding Research Fund 48007,2000A,Restricted Expendable,2200B,Restricted Gifts B,6000C,Restricted Expendable Gifts,6300D,Restricted Gift Funds UC Davis,75754,Clinical Breastfeeding Research Fund 48007,75754,Clinical Breastfeeding Research Fund 48007,2026-07-01 13:38:29.229
13U00,COFI University Common Funds 99100,1000A,Unrestricted A,1000B,Unrestricted B,1300C,Other Unrestricted C,13U0D,Common Operating Fund Initiative COFI,13U00,COFI University Common Funds 99100,13U00,COFI University Common Funds 99100,2026-07-01 13:38:29.229
76309,Milk Bioactive Research Fund 50431,2000A,Restricted Expendable,2200B,Restricted Gifts B,6000C,Restricted Expendable Gifts,6300D,Restricted Gift Funds UC Davis,76309,Milk Bioactive Research Fund 50431,76309,Milk Bioactive Research Fund 50431,2026-07-01 13:38:29.229
76881,Myrosinase Research Fund,2000A,Restricted Expendable,2200B,Restricted Gifts B,6000C,Restricted Expendable Gifts,6300D,Restricted Gift Funds UC Davis,76881,Myrosinase Research Fund,76881,Myrosinase Research Fund,2026-07-01 13:38:29.229
71359,Resistant Starch Wheat Research Program 48838,2000A,Restricted Expendable,2200B,Restricted Gifts B,6000C,Restricted Expendable Gifts,6300D,Restricted Gift Funds UC Davis,71359,Resistant Starch Wheat Research Program 48838,71359,Resistant Starch Wheat Research Program 48838,2026-07-01 13:38:29.229
E1032,PRN Resnick Agricultural Innovation Research 325187 47976,2000A,Restricted Expendable,2200B,Restricted Gifts B,6000C,Restricted Expendable Gifts,E000D,Restricted Expendable Gifts Foundation,E1032,PRN Resnick Agricultural Innovation Research 325187 47976,E1032,PRN Resnick Agricultural Innovation Research 325187 47976,2026-07-01 13:38:29.229
P0805,Corinne L Rustici Endowed in Human Nut 123719 49276,2000A,Restricted Expendable,2200B,Restricted Gifts B,6000C,Restricted Expendable Gifts,P000D,Restricted Gift Funds UC Davis Foundation Endowment Payout,P0805,Corinne L Rustici Endowed in Human Nut 123719 49276,P0805,Corinne L Rustici Endowed in Human Nut 123719 49276,2026-07-01 13:38:29.229
71435,Human Nutrition Fund 48915,2000A,Restricted Expendable,2200B,Restricted Gifts B,6000C,Restricted Expendable Gifts,6300D,Restricted Gift Funds UC Davis,71435,Human Nutrition Fund 48915,71435,Human Nutrition Fund 48915,2026-07-01 13:38:29.229
76862,Rosy Red Valencia Research Study,2000A,Restricted Expendable,2200B,Restricted Gifts B,6000C,Restricted Expendable Gifts,6300D,Restricted Gift Funds UC Davis,76862,Rosy Red Valencia Research Study,76862,Rosy Red Valencia Research Study,2026-07-01 13:38:29.229
P1318,Mohini Jain Presidential Chair 150304 49294,2000A,Restricted Expendable,2200B,Restricted Gifts B,6000C,Restricted Expendable Gifts,P000D,Restricted Gift Funds UC Davis Foundation Endowment Payout,P1318,Mohini Jain Presidential Chair 150304 49294,P1318,Mohini Jain Presidential Chair 150304 49294,2026-07-01 13:38:29.229
65727,Human Lactation Center 42678,2000A,Restricted Expendable,2200B,Restricted Gifts B,6000C,Restricted Expendable Gifts,6300D,Restricted Gift Funds UC Davis,65727,Human Lactation Center 42678,65727,Human Lactation Center 42678,2026-07-01 13:38:29.229
E0124,PRN Nutrition General Support 323086 43274,2000A,Restricted Expendable,2200B,Restricted Gifts B,6000C,Restricted Expendable Gifts,E000D,Restricted Expendable Gifts Foundation,E0124,PRN Nutrition General Support 323086 43274,E0124,PRN Nutrition General Support 323086 43274,2026-07-01 13:38:29.229
20003,Federal Contracts,2000A,Restricted Expendable,2000B,ContractsandGrants,2000C,Federal ContractsandGrants C,2000D,Federal ContractsandGrants D,20003,Federal Contracts,20003,Federal Contracts,2026-07-01 13:38:29.229
75579,Nuts and Berries Conference Support Fund 46312,2000A,Restricted Expendable,2200B,Restricted Gifts B,6000C,Restricted Expendable Gifts,6300D,Restricted Gift Funds UC Davis,75579,Nuts and Berries Conference Support Fund 46312,75579,Nuts and Berries Conference Support Fund 46312,2026-07-01 13:38:29.229
37495,Nutrition Prophet Zeman Endowment,2000A,Restricted Expendable,2200B,Restricted Gifts B,7000C,Restricted Endowment Income,7700D,Restricted Endowment Income Regents,37495,Nutrition Prophet Zeman Endowment,37495,Nutrition Prophet Zeman Endowment,2026-07-01 13:38:29.229
20400,State Contracts and Grants,2000A,Restricted Expendable,2000B,ContractsandGrants,2040C,State and Local Contracts and Grants C,2040D,State and Local Contracts and Grants D,20400,State Contracts and Grants,20400,State Contracts and Grants,2026-07-01 13:38:29.229
71847,Chrysolide Sciences Nutritional Biology 49328,2000A,Restricted Expendable,2200B,Restricted Gifts B,6000C,Restricted Expendable Gifts,6300D,Restricted Gift Funds UC Davis,71847,Chrysolide Sciences Nutritional Biology 49328,71847,Chrysolide Sciences Nutritional Biology 49328,2026-07-01 13:38:29.229
71442,Dr Cesar Fraga Research 48922,2000A,Restricted Expendable,2200B,Restricted Gifts B,6000C,Restricted Expendable Gifts,6300D,Restricted Gift Funds UC Davis,71442,Dr Cesar Fraga Research 48922,71442,Dr Cesar Fraga Research 48922,2026-07-01 13:38:29.229
